"Svc","Vsl","Voy","Dir","Facility","Berth.LTA","LTD","Berth.ETA.ATA","ETD.ATD","Arr..Diff.","Dep..Diff","X","portTime","LportTime","arrDiff","depDiff","SeaT","PSeaT"
"SSX","OHB",49,"E","YAT",2009-02-14 21:00:00,2009-02-15 14:00:00,2009-02-14 20:24:00,2009-02-15 17:38:00,"-1","4",NA,21.2333333333333,17,-0.6,3.63333333333333,4.56666666666667,5
"SSX","OHB",49,"E","HKG",2009-02-15 19:00:00,2009-02-16 10:00:00,2009-02-15 22:12:00,2009-02-16 09:12:00,"3","-1",NA,11,15,3.2,-0.8,285.216666666667,287
"SSX","OHB",49,"E","LGB",2009-02-28 09:00:00,2009-03-04 18:00:00,2009-02-28 06:25:00,2009-03-04 18:40:00,"-3","1",NA,108.25,105,-2.58333333333333,0.666666666666667,310.916666666667,299
"SSX","OHB",49,"W","KHH",2009-03-17 05:00:00,2009-03-18 09:00:00,2009-03-17 17:35:00,2009-03-18 05:55:00,"13","-3",NA,12.3333333333333,28,12.5833333333333,-3.08333333333333,12.4333333333333,11
"SSX","OHB",49,"W","ZIA",2009-03-18 20:00:00,2009-03-19 14:00:00,2009-03-18 18:21:00,2009-03-19 11:50:00,"-2","-2",NA,17.4833333333333,18,-1.65,-2.16666666666667,19.2666666666667,16
"SSX","OHB",49,"W","HKG",2009-03-20 06:00:00,2009-03-20 17:00:00,2009-03-20 07:06:00,2009-03-20 14:44:00,"1","-2",NA,7.63333333333333,11,1.1,-2.26666666666667,2.76666666666667,10
"SSX","OHB",49,"W","SKZ",2009-03-21 03:00:00,2009-03-21 10:00:00,2009-03-20 17:30:00,2009-03-21 07:45:00,"-10","-2",NA,14.25,7,-9.5,-2.25,NA,NA
"SSX","OTJ",40,"E","SKZ",2009-02-21 07:00:00,2009-02-21 15:00:00,2009-02-20 20:35:00,2009-02-21 11:16:00,"-10","-4",NA,14.6833333333333,8,-10.4166666666667,-3.73333333333333,6.46666666666667,6
"SSX","OTJ",40,"E","YAT",2009-02-21 21:00:00,2009-02-22 14:00:00,2009-02-21 17:44:00,2009-02-22 12:04:00,"-3","-2",NA,18.3333333333333,17,-3.26666666666667,-1.93333333333333,6.05,5
"SSX","OTJ",40,"E","HKG",2009-02-22 19:00:00,2009-02-23 10:00:00,2009-02-22 18:07:00,2009-02-23 09:19:00,"-1","-1",NA,15.2,15,-0.883333333333333,-0.683333333333333,285.1,287
"SSX","OTJ",40,"E","LGB",2009-03-07 09:00:00,2009-03-11 18:00:00,2009-03-07 06:25:00,2009-03-11 18:35:00,"-3","1",NA,108.166666666667,105,-2.58333333333333,0.583333333333333,308.833333333333,299
"SSX","OTJ",40,"W","KHH",2009-03-24 05:00:00,2009-03-25 09:00:00,2009-03-24 15:25:00,2009-03-25 04:06:00,"10","-5",NA,12.6833333333333,28,10.4166666666667,-4.9,10.6666666666667,11
"SSX","OTJ",40,"W","ZIA",2009-03-25 20:00:00,2009-03-26 14:00:00,2009-03-25 14:46:00,2009-03-26 07:15:00,"-5","-7",NA,16.4833333333333,18,-5.23333333333333,-6.75,22.55,16
"SSX","OTJ",40,"W","HKG",2009-03-27 06:00:00,2009-03-27 17:00:00,2009-03-27 05:48:00,2009-03-27 16:24:00,"0","-1",NA,10.6,11,-0.2,-0.6,2.18333333333333,10
"SSX","OTJ",40,"W","SKZ",2009-03-28 03:00:00,2009-03-28 10:00:00,2009-03-27 18:35:00,2009-03-28 05:15:00,"-8","-5",NA,10.6666666666667,7,-8.41666666666667,-4.75,NA,NA
"SSX","OAS",22,"E","SKZ",2009-02-28 03:00:00,2009-02-28 10:00:00,2009-02-27 20:45:00,2009-02-28 06:10:00,"-6","-4",NA,9.41666666666667,7,-6.25,-3.83333333333333,11.3333333333333,6
"SSX","OAS",22,"E","YAT",2009-02-28 16:00:00,2009-03-01 14:00:00,2009-02-28 17:30:00,2009-03-01 14:23:00,"1","0",NA,20.8833333333333,22,1.5,0.383333333333333,5.45,5
"SSX","OAS",22,"E","HKG",2009-03-01 19:00:00,2009-03-02 10:00:00,2009-03-01 19:50:00,2009-03-02 08:02:00,"1","-2",NA,12.2,15,0.833333333333333,-1.96666666666667,287.066666666667,287
"SSX","OAS",22,"E","LGB",2009-03-14 09:00:00,2009-03-18 18:00:00,2009-03-14 07:06:00,2009-03-18 18:06:00,"-2","0",NA,107,105,-1.9,0.1,308.1,299
"SSX","OAS",22,"W","KHH",2009-03-31 05:00:00,2009-04-01 09:00:00,2009-03-31 14:12:00,2009-04-01 00:38:00,"9","-8",NA,10.4333333333333,28,9.2,-8.36666666666667,14.9,11
"SSX","OAS",22,"W","ZIA",2009-04-01 20:00:00,2009-04-02 14:00:00,2009-04-01 15:32:00,2009-04-02 07:06:00,"-4","-7",NA,15.5666666666667,18,-4.46666666666667,-6.9,33.1166666666667,16
"SSX","OAS",22,"W","HKG",2009-04-03 06:00:00,2009-04-03 17:00:00,2009-04-03 16:13:00,2009-04-04 06:06:00,"10","13",NA,13.8833333333333,11,10.2166666666667,13.1,2.4,10
"SSX","OAS",22,"W","SKZ",2009-04-04 03:00:00,2009-04-04 10:00:00,2009-04-04 08:30:00,2009-04-04 18:05:00,"6","8",NA,9.58333333333333,7,5.5,8.08333333333333,NA,NA
"SSX","OTY",14,"E","ZIA",NA,2009-03-05 16:00:00,NA,2009-03-05 07:25:00,"N/A","-9",NA,NA,NA,NA,-8.58333333333333,23.6166666666667,16
"SSX","OTY",14,"E","HKG",2009-03-06 08:00:00,2009-03-06 21:00:00,2009-03-06 07:02:00,2009-03-06 17:09:00,"-1","-4",NA,10.1166666666667,13,-0.966666666666667,-3.85,2.51666666666667,10
